subject_name,subject_abbreviation,course_number,course_name
Computer Sciences,COMP SCI,767,Computational Methods for Medical Image Analysis
Computer Sciences,COMP SCI,270,Fundamentals of Human-Computer Interaction
Computer Sciences,COMP SCI,682,Senior Honors Thesis
Computer Sciences,COMP SCI,576,Introduction to Bioinformatics
Computer Sciences,COMP SCI,310,Problem Solving Using Computers
Computer Sciences,COMP SCI,809,Math Tech-Analys of Algrthm
Computer Sciences,COMP SCI,758,Advanced Topics in Computer Architecture
Computer Sciences,COMP SCI,252,Introduction to Computer Engineering
Computer Sciences,COMP SCI,760,Machine Learning
Computer Sciences,COMP SCI,733,Comput Meths-Lg Sparse Sys
Computer Sciences,COMP SCI,416,Foundations-Scientifc Computng
Computer Sciences,COMP SCI,810,Models&Formalisms-Computatn
Computer Sciences,COMP SCI,200,Programming I
Computer Sciences,COMP SCI,736,Advanced Operating Systems
Computer Sciences,COMP SCI,577,Introduction to Algorithms
Computer Sciences,COMP SCI,880,Topics in Theoretical Computer Science
Computer Sciences,COMP SCI,784,Foundations of Data Management
Computer Sciences,COMP SCI,369,Web Programming
Computer Sciences,COMP SCI,787,Advanced Algorithms
Computer Sciences,COMP SCI,304,WES-CS Group Meeting
Computer Sciences,COMP SCI,990,Dissertation
Computer Sciences,COMP SCI,534,Computational Photography
Computer Sciences,COMP SCI,538,Introduction to the Theory and Design of Programming Languages
Computer Sciences,COMP SCI,640,Introduction to Computer Networks
Computer Sciences,COMP SCI,202,Introduction to Computation
Computer Sciences,COMP SCI,707,Mobile and Wireless Networking
Computer Sciences,COMP SCI,520,Introduction to Theory of Computing
Computer Sciences,COMP SCI,701,Construction of Compilers
Computer Sciences,COMP SCI,642,Introduction to Information Security
Computer Sciences,COMP SCI,757,Advanced Computer Architecture II
Computer Sciences,COMP SCI,766,Computer Vision
Computer Sciences,COMP SCI,250,Digital Society: The Impact of Computers and Computer Technology
Computer Sciences,COMP SCI,739,Distributed Systems
Computer Sciences,COMP SCI,354,Machine Organization and Programming
Computer Sciences,COMP SCI,790,Master's Thesis
Computer Sciences,COMP SCI,747,Adv Cmputr Sys Anal Techniq
Computer Sciences,COMP SCI,999,Dissertator Research
Computer Sciences,COMP SCI,536,Introduction to Programming Languages and Compilers
Computer Sciences,COMP SCI,744,Big Data Systems
Computer Sciences,COMP SCI,812,Arithmetic Algorithms
Computer Sciences,COMP SCI,679,Computer Game Technology
Computer Sciences,COMP SCI,755,VLSI Systems Design
Computer Sciences,COMP SCI,703,Advanced Topics in Programming Languages and Compilers
Computer Sciences,COMP SCI,706,Analysis of Software Artifacts
Computer Sciences,COMP SCI,731,Adv Artificial Intelligence
Computer Sciences,COMP SCI,900,Advanced Seminar in Computer Science
Computer Sciences,COMP SCI,681,Senior Honors Thesis
Computer Sciences,COMP SCI,776,Advanced Bioinformatics
Computer Sciences,COMP SCI,761,Mathematical Foundations of Machine Learning
Computer Sciences,COMP SCI,638,Undergraduate Topics in Computing
Computer Sciences,COMP SCI,769,Adv Natural Lang Processing
Computer Sciences,COMP SCI,547,Comp Systms Mdlng Fundmntls
Consumer Science,CNSR SCI,930,Seminar in Family Economic Policy
Consumer Science,CNSR SCI,748,Economc Organizatn-Househld
Consumer Science,CNSR SCI,675,Family Financial Counseling
Consumer Science,CNSR SCI,370,Comp Applicatns-Retailing
Consumer Science,CNSR SCI,699,Independent Study
Consumer Science,CNSR SCI,555,Consumer Strategy & Evaluation
Consumer Science,CNSR SCI,501,Special Topics
Consumer Science,CNSR SCI,635,Estate Planning for Financial Planners
Consumer Science,CNSR SCI,657,Consumer Behavior
Consumer Science,CNSR SCI,251,Financial Services Leadership Symposium
Consumer Science,CNSR SCI,601,Internship
Consumer Science,CNSR SCI,360,Sustainable and Socially Just Consumption
Consumer Science,CNSR SCI,301,Advanced Consumer Analytics
Consumer Science,CNSR SCI,999,Independent Study
Consumer Science,CNSR SCI,340,Building Financial Assets and Capability for Vulnerable Families
Consumer Science,CNSR SCI,901,Graduate Special Topics in Consumer Science
Consumer Science,CNSR SCI,475,Family Economics
Consumer Science,CNSR SCI,273,Finances & Families
Consumer Science,CNSR SCI,665,Household Risk Management
Consumer Science,CNSR SCI,602,Field Experience-Retailing
Consumer Science,CNSR SCI,681,Senior Honors Thesis
Consumer Science,CNSR SCI,201,Consumer Research & Analysis
Consumer Science,CNSR SCI,257,Introduction to Retailing
Consumer Science,CNSR SCI,564,Retail Financial Analysis
Consumer Science,CNSR SCI,299,Independent Study
Consumer Science,CNSR SCI,250,Retail Leadership Symposium
Consumer Science,CNSR SCI,503,Prep for Retailng Internshp
Consumer Science,CNSR SCI,567,Product Development Strategies in Retailing
Consumer Science,CNSR SCI,357,Introduction to Retailing
Consumer Science,CNSR SCI,888,Advanced Consumer Behavior
Consumer Science,CNSR SCI,478,Consumer Information
Consumer Science,CNSR SCI,532,"Hlth Care Iss:Ind, Fam, Soc"
Consumer Science,CNSR SCI,627,Advanced Consumer Finance
Consumer Science,CNSR SCI,350,Mediatn:Serving Consumr Int
Consumer Science,CNSR SCI,990,Research and Thesis
Consumer Science,CNSR SCI,477,The Consumer and the Market
Consumer Science,CNSR SCI,960,Seminar: Consumer Research
Consumer Science,CNSR SCI,579,Consumer Policy Analysis
Consumer Science,CNSR SCI,560,Retail Promotion
Consumer Science,CNSR SCI,603,Retailing Internship
Consumer Science,CNSR SCI,561,Retail Channel Strategy & Omni-Channel Retailing
Consumer Science,CNSR SCI,173,Consuming Happiness
Consumer Science,CNSR SCI,575,Family Economics and Public Policy
Consumer Science,CNSR SCI,321,Financial Life Skills for Life After Graduation
Consumer Science,CNSR SCI,562,The Global Consumer
Consumer Science,CNSR SCI,527,Consumer Spending and Saving Over the Lifecycle
Consumer Science,CNSR SCI,565,Seminar in Consumer Science
Consumer Science,CNSR SCI,355,Financial Coaching
Consumer Science,CNSR SCI,111,Financial Life Skills for Undergraduates
Consumer Science,CNSR SCI,275,Consumer Finance
Consumer Science,CNSR SCI,470,Hist-Consumr Movemnts in US
Counseling Psychology,COUN PSY,808,Supervised Practicum in Counseling III: Advanced
Counseling Psychology,COUN PSY,825,Counseling Psychology Techniques With Families
Counseling Psychology,COUN PSY,926,Legal and Ethical Bases of Counseling Psychology
Counseling Psychology,COUN PSY,745,Clinical Mental Health Counseling: Diagnosis and Treatment Planning for Counselors
Counseling Psychology,COUN PSY,951,Counseling Psychology Research in Individual Intervention
Counseling Psychology,COUN PSY,699,Independent Reading
Counseling Psychology,COUN PSY,810,Professional Development and Clinical Practice
Counseling Psychology,COUN PSY,865,Lifestyle and Career Development
Counseling Psychology,COUN PSY,953,Rsch-Training & Supervision
Counseling Psychology,COUN PSY,723,Developmental Processes Across the Life Span
Counseling Psychology,COUN PSY,806,Supervised Practicum in Counseling I
Counseling Psychology,COUN PSY,791,Foundations of Clinical Mental Health Counseling
Counseling Psychology,COUN PSY,950,Research Methods in Counseling Psychology
Counseling Psychology,COUN PSY,525,Dimensions of Latin@ Mental Health Services
Counseling Psychology,COUN PSY,999,Independent Reading
Counseling Psychology,COUN PSY,110,Human Resources Development: Career Strategies
Counseling Psychology,COUN PSY,650,Theory and Practice in Interviewing
Counseling Psychology,COUN PSY,105,Human Resources Develop: Awareness Processes-Cnsl&Guid Perspective
Counseling Psychology,COUN PSY,230,Race and the Developing Child
Counseling Psychology,COUN PSY,115,Human Resources Development: Educational Effectiveness
Counseling Psychology,COUN PSY,952,Rsch: Group Intervention
Counseling Psychology,COUN PSY,300,Special Topics: Counseling and Counseling Psychology
Counseling Psychology,COUN PSY,802,Group Dynamics Processing and Counseling
Counseling Psychology,COUN PSY,890,Advanced Assessment Techniques in Counseling Psychology
Counseling Psychology,COUN PSY,730,Professional Counseling Orientation
Counseling Psychology,COUN PSY,325,Seminar: Students Seeking Educational Equity and Diversity (SEED)
Counseling Psychology,COUN PSY,805,Helping Relationships and Techniques
Counseling Psychology,COUN PSY,902,Counseling Psychology Practicum in Supervision
Counseling Psychology,COUN PSY,901,"Couns Psych Pract: Group Counseling, Consultation, College Teaching"
Counseling Psychology,COUN PSY,665,Career Development Throughout the Life Span
Counseling Psychology,COUN PSY,125,A Wisconsin Experience Seminar
Counseling Psychology,COUN PSY,900,Counseling Psychology Practicum--Foundational
Counseling Psychology,COUN PSY,225,Coming to Terms with Cultural Diversity: Invitation to Dialogue
Counseling Psychology,COUN PSY,620,Special Topics in Counseling and Guidance
Counseling Psychology,COUN PSY,990,Research or Thesis
Counseling Psychology,COUN PSY,350,Peer Leadership and Mentorship with Transitioning Students
Counseling Psychology,COUN PSY,807,Supervised Practicum in Counseling II
Counseling Psychology,COUN PSY,905,Research Practicum in Counseling Psychology
Counseling Psychology,COUN PSY,803,Guid Prog Plan & Management
Counseling Psychology,COUN PSY,860,Social and Cultural Foundations of Counseling
Counseling Psychology,COUN PSY,960,"Research Methods in Counseling Psychology, II"
Counseling Psychology,COUN PSY,956,Seminar: Research in Vocational Psychology and Career Development
Counseling Psychology,COUN PSY,903,Counseling Psychology Practicum--Advanced
Counseling Psychology,COUN PSY,800,Theories of Counseling
Counseling Psychology,COUN PSY,904,Counseling Psychology Externship
Counseling Psychology,COUN PSY,954,Seminar: Topical Research in Counseling Psychology
Counseling Psychology,COUN PSY,801,Assessment and Testing in Mental Health Counseling
Curriculum and Instruction,CURRIC,626,Action Research in Schools
Curriculum and Instruction,CURRIC,672,Issues in ESL Education
Curriculum and Instruction,CURRIC,638,Mathematical Knowledge for Teaching: Geometry and Measurement
Curriculum and Instruction,CURRIC,760,Sex/Gender-Related Issues in Curriculum and Instruction
Curriculum and Instruction,CURRIC,305,Integrating the Teaching of Reading with Other Language Arts
Curriculum and Instruction,CURRIC,677,"Education, Health and Sexuality: Global Perspective and Policies"
Curriculum and Instruction,CURRIC,311,"Language Acquisition and Use In and Out of Schools, Middle Childhood through Early Adolescence"
Curriculum and Instruction,CURRIC,720,School Practicum in Communication Sciences & Disorders
Curriculum and Instruction,CURRIC,300,Introduction to Music Education
Curriculum and Instruction,CURRIC,378,Teaching of Physical Educ
Curriculum and Instruction,CURRIC,340,Elementary Education Practicum One
Curriculum and Instruction,CURRIC,423,Student Teaching in Art in Elementary Schools
Curriculum and Instruction,CURRIC,525,Theatre in Education
Curriculum and Instruction,CURRIC,713,Technology Integration for Teaching and Learning
Curriculum and Instruction,CURRIC,463,Seminar in Pre-Kindergarten Through Middle School Teaching
Curriculum and Instruction,CURRIC,303,Fieldwork in Music Communities
Curriculum and Instruction,CURRIC,426,"History, Theory, and Dramatic Criticism in Theatre for Young Audiences"
Curriculum and Instruction,CURRIC,975,General Seminar
Curriculum and Instruction,CURRIC,479,Middle School or High School Physical Education Student Teaching
Curriculum and Instruction,CURRIC,870,Action Research in Teacher Ed
Curriculum and Instruction,CURRIC,328,Artistic Lives of Children
Curriculum and Instruction,CURRIC,950,Seminar in the Study of Teacher Education
Curriculum and Instruction,CURRIC,511,School-Based Practicum
Curriculum and Instruction,CURRIC,208,Practicum-Teaching Japanese
Curriculum and Instruction,CURRIC,421,Teaching Popular Instrumental Music 2
Curriculum and Instruction,CURRIC,390,Teaching of Science in Secondary Schools
Curriculum and Instruction,CURRIC,636,Mathematical KnowledgeTeaching
Curriculum and Instruction,CURRIC,711,"Culture, Curriculum, and Learning"
Curriculum and Instruction,CURRIC,493,Practicum in Secondary School Art
Curriculum and Instruction,CURRIC,302,Music Learning and Teaching 2
Curriculum and Instruction,CURRIC,358,Pract: Soc Studies-Sec Schl
Curriculum and Instruction,CURRIC,243,Practicum in World Languages (K-12)
Curriculum and Instruction,CURRIC,603,Dsgn&Prod Elec Instr Matrls
Curriculum and Instruction,CURRIC,660,Early Childhood Education
Curriculum and Instruction,CURRIC,830,Theory and Design of the Curriculum
Curriculum and Instruction,CURRIC,420,Teaching Popular Instrumental Music 1
Curriculum and Instruction,CURRIC,614,Instrctnl Comptn-Schools II
Curriculum and Instruction,CURRIC,457,Student Teaching in Health Education
Curriculum and Instruction,CURRIC,362,Drama for Teaching and Learning
Curriculum and Instruction,CURRIC,503,Literacy Across the Curriculum
Curriculum and Instruction,CURRIC,718,Introduction to Narrative Inquiry
Curriculum and Instruction,CURRIC,371,Teaching Social Studies
Curriculum and Instruction,CURRIC,702,Sociocultural Theory
Curriculum and Instruction,CURRIC,324,Art in Secondary Education
Curriculum and Instruction,CURRIC,459,Student Teaching in History and Social Studies in the High School
Curriculum and Instruction,CURRIC,715,Design of Rsch in Curric
Curriculum and Instruction,CURRIC,507,Inclusive Education in Secondary Schools
Curriculum and Instruction,CURRIC,840,Field Work in School Reading Programs
Curriculum and Instruction,CURRIC,465,Stdt Tchg-Kindergarten
Curriculum and Instruction,CURRIC,363,Practicum in Early Childhood Education in Kindergarten
Curriculum and Instruction,CURRIC,746,The Adult Learner: Implications for Curriculum and Instruction
Curriculum and Instruction,CURRIC,789,Qualitative Research Methods in Education: Field Methods II
Curriculum and Instruction,CURRIC,607,Educational Media
Curriculum and Instruction,CURRIC,314,Becoming Literate in and out of Schools
Curriculum and Instruction,CURRIC,316,ESL/Bilingual Methods
Curriculum and Instruction,CURRIC,855,Issues in Elementary Education
Curriculum and Instruction,CURRIC,844,Culturally Relevant Pedagogy
Curriculum and Instruction,CURRIC,999,Doctoral Independent Study
Curriculum and Instruction,CURRIC,323,Art in Elementary Education
Curriculum and Instruction,CURRIC,327,Methods of Teaching Young English Learners
Curriculum and Instruction,CURRIC,640,Mathematical Knowledge for Teaching: Conjecturing and Reasoning
Curriculum and Instruction,CURRIC,408,Student Teaching-Japanese
Curriculum and Instruction,CURRIC,304,"Composition, Arrangement, and Orchestration for the Music Teacher"
Curriculum and Instruction,CURRIC,947,Current Issues in Music Educ
Curriculum and Instruction,CURRIC,671,Prosem in Music Education
Curriculum and Instruction,CURRIC,756,Tch Tchrs:Rdg Rcov Leadrshp II
Curriculum and Instruction,CURRIC,700,Org of Instructional Tech
Curriculum and Instruction,CURRIC,495,Student Teaching in Science in the Middle School
Curriculum and Instruction,CURRIC,496,Student Teaching of English in the High School
Curriculum and Instruction,CURRIC,301,Music Learning and Teaching 1
Curriculum and Instruction,CURRIC,663,Learning Environments for Initial Education Programs
Curriculum and Instruction,CURRIC,748,Teaching-Learning: Adult Ed
Curriculum and Instruction,CURRIC,470,Practicum in Elementary School Art
Curriculum and Instruction,CURRIC,296,Practm-Secondry Sch English
Curriculum and Instruction,CURRIC,325,Educating Young English Learners
Curriculum and Instruction,CURRIC,675,General Seminar
Curriculum and Instruction,CURRIC,708,The Study of Teaching
Curriculum and Instruction,CURRIC,726,Qualitative Methods of Studying Children and Contexts
Curriculum and Instruction,CURRIC,991,Post-Secondary Teaching Practicum
Curriculum and Instruction,CURRIC,337,Practicum in Teaching Music
Curriculum and Instruction,CURRIC,462,Theatre for Young Audiences: Production
Curriculum and Instruction,CURRIC,359,Teaching of History and the Other Social Studies
Curriculum and Instruction,CURRIC,949,Seminar in the Study of Teacher Education: Professional Development
Curriculum and Instruction,CURRIC,550,"Methods, Materials and Activities in Early Childhood Education"
Curriculum and Instruction,CURRIC,339,Cultural Foundations of Learning and Development
Curriculum and Instruction,CURRIC,752,Teach Chldrn:Rdg Recov Pract I
Curriculum and Instruction,CURRIC,277,Videogames & Learning
Curriculum and Instruction,CURRIC,395,Uses of Technologies in Secondary School Mathematics
Curriculum and Instruction,CURRIC,428,Program Planning in Family and Consumer Education
Curriculum and Instruction,CURRIC,318,Teaching Reading and Writing
Curriculum and Instruction,CURRIC,755,Diverse Lrnrs:Rdg Recv Prac II
Curriculum and Instruction,CURRIC,811,The Instruction of Mathematics
Curriculum and Instruction,CURRIC,800,Iss-Ed Communication Tech
Curriculum and Instruction,CURRIC,805,Guiding and Directing the School Reading Program
Curriculum and Instruction,CURRIC,864,Semiotics for Education
Curriculum and Instruction,CURRIC,976,Seminar in Reading
Curriculum and Instruction,CURRIC,504,Literacy Assessment and Intervention
Curriculum and Instruction,CURRIC,990,Dissertation Research
Curriculum and Instruction,CURRIC,464,Student Teaching in the Elementary School
Curriculum and Instruction,CURRIC,516,Religion and Public Education
Curriculum and Instruction,CURRIC,430,Student Teaching in Family and Consumer Education
Curriculum and Instruction,CURRIC,427,Methods of Teaching Family and Consumer Education
Curriculum and Instruction,CURRIC,910,Seminar-Curriculum Development
Curriculum and Instruction,CURRIC,369,The Teaching of Language Arts
Curriculum and Instruction,CURRIC,365,Teaching Mathematics in Inclusive Settings
Curriculum and Instruction,CURRIC,732,Foundations of Science Education
Curriculum and Instruction,CURRIC,240,"Critical Aspects of Teaching, Schooling, and Education"
Curriculum and Instruction,CURRIC,788,Qualitative Research Methods in Education: Field Methods I
Curriculum and Instruction,CURRIC,424,Student Teaching in Art in Secondary Schools
Curriculum and Instruction,CURRIC,620,Field Project in Library and Information Agencies
Curriculum and Instruction,CURRIC,570,null
Curriculum and Instruction,CURRIC,662,Elem School Curriculum
Curriculum and Instruction,CURRIC,342,Teaching World Languages (K-8)
Curriculum and Instruction,CURRIC,701,Analys-Computers in Curric
Curriculum and Instruction,CURRIC,333,Tchg Gen Music-Elem School
Curriculum and Instruction,CURRIC,699,Independent Reading
Curriculum and Instruction,CURRIC,343,Teaching World Languages (6-12)
Curriculum and Instruction,CURRIC,753,Tch Tchrs:Rdg Recov Leadrshp I
Curriculum and Instruction,CURRIC,443,Student Teaching in World Languages (6-12)
Curriculum and Instruction,CURRIC,322,Information Design for Visual Learning
Curriculum and Instruction,CURRIC,497,Student Teaching in Middle School Mathematics
Curriculum and Instruction,CURRIC,367,Elementary Teaching Practicum II
Curriculum and Instruction,CURRIC,399,Independent Study
Curriculum and Instruction,CURRIC,801,Interactv Media&Comp-Curric
Curriculum and Instruction,CURRIC,916,Smr: Special Topics in Research & Evaluation in Curriculum & Instruction
Curriculum and Instruction,CURRIC,501,Health Information for Teachers
Curriculum and Instruction,CURRIC,945,Seminar in Music Education
Curriculum and Instruction,CURRIC,704,Curriculum Planning
Curriculum and Instruction,CURRIC,332,Teaching Choral Music in the Secondary School
Curriculum and Instruction,CURRIC,832,Teaching for Conceptual Change in Science
Curriculum and Instruction,CURRIC,317,Dimensions of Literacy
Curriculum and Instruction,CURRIC,290,Practicum-Secondary Sci Ed
Curriculum and Instruction,CURRIC,674,Advanced Methods in Teaching English as a Second Language
Curriculum and Instruction,CURRIC,309,Reading and Writing Across the Content Areas
Curriculum and Instruction,CURRIC,537,Teaching Diverse Learners
Curriculum and Instruction,CURRIC,900,Advanced Seminar in Digital Media
Curriculum and Instruction,CURRIC,373,Elementary Teaching Practicum III
Curriculum and Instruction,CURRIC,946,Past Perspectives on Music Education
Curriculum and Instruction,CURRIC,494,Student Teaching in High School Mathematics
Curriculum and Instruction,CURRIC,393,The Teaching of Secondary School Mathematics I
Curriculum and Instruction,CURRIC,396,Teaching of English
Curriculum and Instruction,CURRIC,733,Public Engagement with Science
Curriculum and Instruction,CURRIC,442,Student Teaching in World Languages (K-8)
Curriculum and Instruction,CURRIC,821,Constructionism
Curriculum and Instruction,CURRIC,719,Introduction to Qualitative Research
Curriculum and Instruction,CURRIC,431,Young Adult Lit for Schools
Curriculum and Instruction,CURRIC,490,Student Teaching in Science in the High School
Curriculum and Instruction,CURRIC,712,Introduction to Curriculum and Instruction: Research and resources
Curriculum and Instruction,CURRIC,729,Classroom Management for Secondary Educators
Curriculum and Instruction,CURRIC,600,Methods-Instructn w/Technol
Curriculum and Instruction,CURRIC,964,Seminar in World Language Education
Curriculum and Instruction,CURRIC,338,The Language of Schooling
Curriculum and Instruction,CURRIC,963,Seminar-Educational Planning & Curric Change-Developing Countries
Curriculum and Instruction,CURRIC,637,Mathematical Knowledge for Teaching: Ratios and Proportions
Curriculum and Instruction,CURRIC,336,Tchg Instrumental Music-Sec
Curriculum and Instruction,CURRIC,955,Seminar in Advanced Values and Character Education
Curriculum and Instruction,CURRIC,564,Advanced Problems on the Teaching of World Languages
Curriculum and Instruction,CURRIC,468,Early Childhood/English as a Second Language Student Teaching
Curriculum and Instruction,CURRIC,630,Professional Development for Schools and Community Educators
Curriculum and Instruction,CURRIC,330,Practicum-Fam & Consumer Educ
Curriculum and Instruction,CURRIC,960,Seminar-Science Education
Curriculum and Instruction,CURRIC,409,Student Teaching in General and Vocal Music
Curriculum and Instruction,CURRIC,478,Elementary School Physical Education Student Teaching
Curriculum and Instruction,CURRIC,562,Drama in Education: Advanced Studies
Curriculum and Instruction,CURRIC,566,Pract-Spec Ed in the Arts
Curriculum and Instruction,CURRIC,498,Student Teaching in the Middle School
Curriculum and Instruction,CURRIC,744,Perspectives in Multicultural Education
Curriculum and Instruction,CURRIC,364,Introduction to Education
Curriculum and Instruction,CURRIC,604,Seminar on Literacy
Curriculum and Instruction,CURRIC,673,Learning Second Language and Literacies
Curriculum and Instruction,CURRIC,209,Digital Media and Literacy
Curriculum and Instruction,CURRIC,506,Strategies for Inclusive Schooling
Curriculum and Instruction,CURRIC,514,Instrctnl Computn-Schools I
Curriculum and Instruction,CURRIC,942,Seminar in Research on Mathematics Education
Curriculum and Instruction,CURRIC,472,Student Teaching of English in the Middle School
Curriculum and Instruction,CURRIC,313,Lang & Lit-Secondary Curric
Curriculum and Instruction,CURRIC,375,Proseminar
Curriculum and Instruction,CURRIC,335,Tchg Instrum Music-Elem
Curriculum and Instruction,CURRIC,368,The Teaching of Reading
Curriculum and Instruction,CURRIC,723,Life History: Theories & Methods
Curriculum and Instruction,CURRIC,312,ESL/Bilingual Issues
Curriculum and Instruction,CURRIC,567,"Issues, Materials and Methods in Health Education"
Curriculum and Instruction,CURRIC,590,Advanced Practices in the Teaching of Science
Curriculum and Instruction,CURRIC,716,Reform and Change in Curriculum and Instruction
Curriculum and Instruction,CURRIC,829,Proseminar in American Curriculum Theory: 1890-Present
Curriculum and Instruction,CURRIC,394,The Teaching of Secondary School Mathematics II
Curriculum and Instruction,CURRIC,764,Globalization and Linguistic Human Rights in Education
Curriculum and Instruction,CURRIC,606,Critical Perspectives on Digital Media in Education
Curriculum and Instruction,CURRIC,541,Organization and Administration of School Health Programs
Curriculum and Instruction,CURRIC,361,Practicum in Math-Sec Schl
Curriculum and Instruction,CURRIC,714,Research and Evaluation Paradigms in Curriculum and Instruction
Curriculum and Instruction,CURRIC,471,Mathematics for Secondary School Teachers
Curriculum and Instruction,CURRIC,467,Student Teaching in Music-Secondary
Curriculum and Instruction,CURRIC,692,School Practicum in Communication Sciences & Disorders
Curriculum and Instruction,CURRIC,334,Tchg Gen Music-Secndry Schl
Curriculum and Instruction,CURRIC,466,Student Teaching in Music-Elementary
Curriculum and Instruction,CURRIC,374,General Educ Practicum & Instructional Planning for Diverse Learners
Curriculum and Instruction,CURRIC,321,Chicano/Latino Educational Justice
Curriculum and Instruction,CURRIC,951,Seminar in Art Education
Curriculum and Instruction,CURRIC,559,Advanced Practices in the Teaching of Social Studies
Curriculum and Instruction,CURRIC,810,"Goals, Content and Programs in Mathematics Education"
Curriculum and Instruction,CURRIC,860,Supervision in Teacher Education
Curriculum and Instruction,CURRIC,717,Intro to Qualitative Research
Curriculum and Instruction,CURRIC,690,Independent Field Work
Curriculum and Instruction,CURRIC,500,Literacy & Language Developmnt
Curriculum and Instruction,CURRIC,639,Mathematical Knowledge for Teaching: Algebra and Functions
Curriculum and Instruction,CURRIC,676,Bilingualism and Biliteracy in Schools
Curriculum and Instruction,CURRIC,407,Student Teaching in Chinese
Curriculum and Instruction,CURRIC,774,Literacy Research Methods
Curriculum and Instruction,CURRIC,410,Student Teaching in General and Instrumental Music
Curriculum and Instruction,CURRIC,425,Concrn&Constrnt-Tch Yng Chl
Curriculum and Instruction,CURRIC,812,Curricular Issues in Mathematics Education
Curriculum and Instruction,CURRIC,315,Reading and Writing Across the Curriculum in Early Childhood
Curriculum and Instruction,CURRIC,372,Teaching Science
Curriculum and Instruction,CURRIC,354,Teaching Music
Curriculum and Instruction,CURRIC,765,Globalization and Teaching: Dimensions for Curriculum Planning
Curriculum and Instruction,CURRIC,561,Teacher Education in Human Sexuality
Curriculum and Instruction,CURRIC,440,Elem Teaching Practicum IV
Curriculum and Instruction,CURRIC,370,Teaching Mathematics
Curriculum and Instruction,CURRIC,458,Student Teaching in History and Social Studies in the Middle School
Curriculum and Instruction,CURRIC,344,Teaching Vocal Styles in the Music Classroom
Curriculum and Instruction,CURRIC,454,Student Teaching in the Middle School
Curriculum and Instruction,CURRIC,948,Diversity Issues-Music Teachng
Curriculum and Instruction,CURRIC,326,Language Use and Acquisition in Early Childhood
Curriculum and Instruction,CURRIC,596,Advanced Practices in Teaching English in Secondary Schools
Curriculum and Instruction,CURRIC,422,The Teaching of Children's Lit
Curriculum and Instruction,CURRIC,515,"Holocaust: History, Memory and Education"
Curriculum and Instruction,CURRIC,542,Teacher Education About Alcohol and Other Drugs
Curriculum and Instruction,CURRIC,632,Literature and Literacy
Dairy Science,DY SCI,951,Seminar in Animal Breeding
Dairy Science,DY SCI,370,Livestock Production and Health in Agricultural Development
Dairy Science,DY SCI,311,Comparative Animal Nutrition
Dairy Science,DY SCI,682,Senior Honors Thesis
Dairy Science,DY SCI,272,Pre-Capstone Seminar
Dairy Science,DY SCI,681,Senior Honors Thesis
Dairy Science,DY SCI,931,Seminar in Animal Nutrition
Dairy Science,DY SCI,990,Research
Dairy Science,DY SCI,373,Animal Physiology
Dairy Science,DY SCI,414,Ruminant Nutrition
Dairy Science,DY SCI,950,Seminar in Animal Genomics
Dairy Science,DY SCI,302,Dy Cattle Husbandry Practicum
Dairy Science,DY SCI,320,Animal Health and Disease Management
Dairy Science,DY SCI,799,Practicum in Dairy Science Teaching
Dairy Science,DY SCI,690,Proseminar
Dairy Science,DY SCI,699,Special Problems
Dairy Science,DY SCI,305,Lactation Physiology
Dairy Science,DY SCI,233,Dairy Herd Management I
Dairy Science,DY SCI,824,Ruminant Nutritional Physiology I
Dairy Science,DY SCI,535,Dairy Farm Management Practicum
Dairy Science,DY SCI,434,Reproductive Physiology
Dairy Science,DY SCI,313,Animal Feeds and Diet Formulation
Dairy Science,DY SCI,433,Dairy Herd Management
Dairy Science,DY SCI,375,Special Topics
Dairy Science,DY SCI,900,Seminar
Dairy Science,DY SCI,101,Introduction to Animal Sciences
Dairy Science,DY SCI,875,Special Topics
Dairy Science,DY SCI,472,Animal Agriculture and Global Sustainable Development
Dairy Science,DY SCI,362,Veterinary Genetics
Dairy Science,DY SCI,299,Independent Study
Dairy Science,DY SCI,234,Dairy Herd Management II
Dairy Science,DY SCI,205,Dairy Cattle Improvement Programs
Dairy Science,DY SCI,534,Reproductive Management of Dairy Cattle
Dairy Science,DY SCI,363,Principles of Animal Breeding
Dairy Science,DY SCI,399,Coordinative Internship/Cooperative Education
Dairy Science,DY SCI,361,Introduction to Animal and Veterinary Genetics
Dance,DANCE,23,Ballet III
Dance,DANCE,451,Dance Repertory Theater
Dance,DANCE,241,Music Fundamentals for Dancers
Dance,DANCE,336,Pilates Equipment Lab III
Dance,DANCE,399,Independent Project
Dance,DANCE,311,Contemporary Dance Technique and Theory V
Dance,DANCE,555,Advanced Composition
Dance,DANCE,144,Rhythmic Training for Dancers
Dance,DANCE,341,Sound Design for the Performing and Visual Arts
Dance,DANCE,430,Advanced Sound Design
Dance,DANCE,455,Dance Composition III
Dance,DANCE,41,Ballroom Dancing
Dance,DANCE,125,Ballet Technique I
Dance,DANCE,326,Ballet Technique III-B
Dance,DANCE,255,Movement Composition for the Performing and Visual Arts
Dance,DANCE,330,Functional Anatomy for Movement Practices
Dance,DANCE,12,Contemporary Dance II
Dance,DANCE,265,Dance History I: Dance Art from the Renaissance to the 1950's
Dance,DANCE,112,Contemporary Dance Technique and Theory II
Dance,DANCE,111,Contemporary Dance Technique and Theory I
